resume_text,job_description,match_score
"Mobile Developer with 6 years of experience. Proficient in flutter, ios, swift, kotlin, react native. Also skilled in mobile, android. Built multiple projects and worked in enterprise environment. Strong communication skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: ios, react native, firebase, flutter, kotlin. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",81.54
"Devops with 7 years of experience. Proficient in linux, jenkins, aws, terraform, ansible. Also skilled in docker, kubernetes, git, ci/cd. Built multiple projects and worked in startup environment. Strong teamwork skills.","DevOps Engineer position. Looking for 3+ years of experience. Required skills: jenkins, linux, aws, ansible, terraform. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",91.71
"Backend with 3 years of experience. Proficient in microservices, java, python, mongodb, redis. Also skilled in node.js, postgresql. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Backend Developer position. Looking for 3+ years of experience. Required skills: sql, python, microservices, java, postgresql, rest api. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",79.42
"Full Stack with 7 years of experience. Proficient in mongodb, html, react, rest api, typescript. Also skilled in node.js. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 5+ years of experience. Required skills: express, rest api, javascript, node.js, react. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",67.55
"Data Scientist with 5 years of experience. Proficient in nlp, deep learning, pandas, machine learning, numpy. Also skilled in pytorch, statistics, tensorflow, sql, python. Built multiple projects and worked in startup environment. Strong communication skills.","Data Scientist position. Looking for 6+ years of experience. Required skills: tensorflow, statistics, nlp, sql, pytorch, deep learning. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",89.26
"Frontend with 7 years of experience. Proficient in javascript, vue, sass, typescript, html. Also skilled in angular, css, webpack, react. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: vue, angular, webpack, sass, react, javascript, typescript. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",92.77
"Backend with 3 years of experience. Proficient in node.js, java, mongodb, python, microservices. Also skilled in postgresql, rest api. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Backend Developer position. Looking for 4+ years of experience. Required skills: python, mongodb, node.js, postgresql, microservices, sql. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",87.48
"Qa Engineer with 5 years of experience. Proficient in quality assurance, automation, selenium, testing, pytest. Also skilled in junit, cypress, api testing. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","QA Engineer position. Looking for 6+ years of experience. Required skills: automation, pytest, cypress, testing, api testing. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",89.09
"Mobile Developer with 5 years of experience. Proficient in android, react native, swift, kotlin, flutter. Also skilled in mobile. Built multiple projects and worked in startup environment. Strong communication skills.","Mobile Developer position. Looking for 6+ years of experience. Required skills: mobile, react native, firebase, android, swift. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",75.55
"Mobile Developer with 7 years of experience. Proficient in kotlin, firebase, ios, swift, android. Also skilled in flutter. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Mobile Developer position. Looking for 3+ years of experience. Required skills: kotlin, ios, firebase, mobile, android, flutter. Must have strong technical abilities. On-site work. Competitive salary and benefits.",91.88
"Frontend with 3 years of experience. Proficient in javascript, react, typescript, vue, html. Also skilled in webpack, css, angular, sass. Built multiple projects and worked in startup environment. Strong teamwork skills.","Frontend Developer position. Looking for 4+ years of experience. Required skills: javascript, html, css, react, angular, typescript, vue. Must have strong technical abilities. On-site work. Competitive salary and benefits.",87.32
"Devops with 9 years of experience. Proficient in git, docker, kubernetes, ci/cd, terraform. Also skilled in aws, ansible. Built multiple projects and worked in startup environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 8+ years of experience. Required skills: aws, jenkins, git, ci/cd, ansible, docker, linux. Must have strong technical abilities. Remote work. Competitive salary and benefits.",77.2
"Qa Engineer with 6 years of experience. Proficient in quality assurance, cypress, automation, testing, junit. Also skilled in api testing, pytest. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","QA Engineer position. Looking for 5+ years of experience. Required skills: junit, quality assurance, pytest, selenium. Must have strong technical abilities. Remote work. Competitive salary and benefits.",77.99
"Data Scientist with 6 years of experience. Proficient in machine learning, tensorflow, sql, numpy, statistics. Also skilled in deep learning, pandas, nlp. Built multiple projects and worked in agile environment. Strong communication skills.","Data Scientist position. Looking for 3+ years of experience. Required skills: numpy, pytorch, pandas, python, deep learning, machine learning, tensorflow, nlp. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",81.86
"Mobile Developer with 7 years of experience. Proficient in kotlin, firebase, mobile, swift, android. Also skilled in react native. Built multiple projects and worked in startup environment. Strong communication skills.","Mobile Developer position. Looking for 6+ years of experience. Required skills: mobile, flutter, kotlin, swift, react native, firebase. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",82.92
"Devops with 9 years of experience. Proficient in kubernetes, docker, ansible, git, aws. Also skilled in linux, jenkins, ci/cd. Built multiple projects and worked in agile environment. Strong teamwork skills.","DevOps Engineer position. Looking for 5+ years of experience. Required skills: kubernetes, linux, docker, terraform, aws, jenkins. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",80.0
"Software Engineer with 6 years of experience. Proficient in django, react, java, node.js, python. Also skilled in api, spring, git, javascript. Built multiple projects and worked in agile environment. Strong teamwork skills.","Software Engineer position. Looking for 7+ years of experience. Required skills: api, react, git, spring, python, javascript, sql. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",78.57
"Data Scientist with 7 years of experience. Proficient in pandas, deep learning, numpy, machine learning, python. Also skilled in nlp, pytorch, sql, tensorflow. Built multiple projects and worked in startup environment. Strong communication skills.","Data Scientist position. Looking for 6+ years of experience. Required skills: pandas, statistics, sql, nlp, tensorflow, python, machine learning, numpy. Must have strong technical abilities. Remote work. Competitive salary and benefits.",86.19
"Mobile Developer with 4 years of experience. Proficient in react native, android, firebase, mobile, swift. Also skilled in flutter, kotlin, ios. Built multiple projects and worked in agile environment. Strong communication skills.","Mobile Developer position. Looking for 3+ years of experience. Required skills: android, react native, kotlin, ios. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",91.94
"Backend with 3 years of experience. Proficient in python, mongodb, postgresql, sql, microservices. Also skilled in node.js. Built multiple projects and worked in agile environment. Strong communication skills.","Backend Developer position. Looking for 5+ years of experience. Required skills: rest api, sql, python, mongodb, java, microservices. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",59.33
"Data Scientist with 2 years of experience. Proficient in python, statistics, pandas, tensorflow, numpy. Also skilled in pytorch, deep learning, nlp, sql. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Data Scientist position. Looking for 3+ years of experience. Required skills: deep learning, nlp, numpy, machine learning, sql, statistics, pytorch. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",67.32
"Frontend with 5 years of experience. Proficient in html, javascript, webpack, sass, typescript. Also skilled in react, vue, angular. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Frontend Developer position. Looking for 3+ years of experience. Required skills: react, vue, sass, webpack, typescript, javascript, html. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",91.02
"Data Scientist with 6 years of experience. Proficient in numpy, machine learning, nlp, deep learning, pandas. Also skilled in tensorflow, sql. Built multiple projects and worked in agile environment. Strong teamwork skills.","Data Scientist position. Looking for 6+ years of experience. Required skills: nlp, deep learning, sql, pytorch, statistics, machine learning, tensorflow, python. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",71.55
"Full Stack with 6 years of experience. Proficient in express, css, typescript, node.js, javascript. Also skilled in rest api, react, mongodb, html. Built multiple projects and worked in enterprise environment. Strong communication skills.","Full Stack Developer position. Looking for 5+ years of experience. Required skills: react, node.js, mongodb, typescript, rest api. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",94.0
"Mobile Developer with 2 years of experience. Proficient in mobile, react native, flutter, swift, android. Built multiple projects and worked in agile environment. Strong communication skills.","Mobile Developer position. Looking for 3+ years of experience. Required skills: mobile, swift, kotlin, flutter. Must have strong technical abilities. On-site work. Competitive salary and benefits.",61.44
"Mobile Developer with 4 years of experience. Proficient in swift, flutter, ios, mobile, react native. Also skilled in firebase. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Mobile Developer position. Looking for 3+ years of experience. Required skills: swift, android, firebase, kotlin. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",64.85
"Data Scientist with 4 years of experience. Proficient in machine learning, statistics, deep learning, tensorflow, pandas. Also skilled in sql, numpy, nlp. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Data Scientist position. Looking for 5+ years of experience. Required skills: deep learning, pandas, machine learning, numpy, statistics, sql, pytorch, nlp. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",81.79
"Full Stack with 8 years of experience. Proficient in typescript, rest api, html, css, react. Also skilled in express, mongodb. Built multiple projects and worked in enterprise environment. Strong communication skills.","Full Stack Developer position. Looking for 5+ years of experience. Required skills: html, javascript, node.js, css, typescript, rest api, react. Must have strong technical abilities. On-site work. Competitive salary and benefits.",79.22
"Software Engineer with 4 years of experience. Proficient in django, node.js, git, python, api. Also skilled in javascript, react, spring, sql. Built multiple projects and worked in startup environment. Strong communication skills.","Software Engineer position. Looking for 7+ years of experience. Required skills: django, python, spring, javascript, api, react, sql. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",76.48
"Qa Engineer with 3 years of experience. Proficient in quality assurance, selenium, pytest, testing, api testing. Also skilled in junit. Built multiple projects and worked in startup environment. Strong teamwork skills.","QA Engineer position. Looking for 3+ years of experience. Required skills: testing, api testing, automation, quality assurance. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",80.52
"Devops with 8 years of experience. Proficient in ci/cd, linux, docker, git, terraform. Also skilled in kubernetes, ansible, aws. Built multiple projects and worked in enterprise environment. Strong communication skills.","DevOps Engineer position. Looking for 3+ years of experience. Required skills: jenkins, git, aws, linux, docker, ansible. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",82.06
"Software Engineer with 5 years of experience. Proficient in sql, react, python, django, node.js. Also skilled in javascript, java, spring, api. Built multiple projects and worked in enterprise environment. Strong communication skills.","Software Engineer position. Looking for 2+ years of experience. Required skills: node.js, javascript, react, spring, python, api, django. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",89.45
"Backend with 6 years of experience. Proficient in mongodb, python, redis, postgresql, node.js. Also skilled in rest api, java, microservices. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Backend Developer position. Looking for 2+ years of experience. Required skills: microservices, rest api, node.js, postgresql, mongodb, redis. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",89.92
"Frontend with 7 years of experience. Proficient in sass, typescript, webpack, angular, javascript. Also skilled in html, css, react. Built multiple projects and worked in startup environment. Strong communication skills.","Frontend Developer position. Looking for 2+ years of experience. Required skills: html, javascript, react, typescript, css, vue, sass. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",81.05
"Software Engineer with 8 years of experience. Proficient in javascript, python, django, spring, api. Also skilled in java, git, sql, node.js, react. Built multiple projects and worked in agile environment. Strong communication skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: java, javascript, django, python, sql, git, react. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",94.6
"Full Stack with 8 years of experience. Proficient in html, react, css, javascript, mongodb. Also skilled in node.js. Built multiple projects and worked in startup environment. Strong communication skills.","Full Stack Developer position. Looking for 3+ years of experience. Required skills: typescript, javascript, react, css, node.js. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",83.69
"Devops with 8 years of experience. Proficient in docker, terraform, linux, kubernetes, aws. Also skilled in ansible, ci/cd. Built multiple projects and worked in startup environment. Strong teamwork skills.","DevOps Engineer position. Looking for 3+ years of experience. Required skills: linux, aws, ci/cd, kubernetes, git. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",79.57
"Frontend with 3 years of experience. Proficient in vue, webpack, css, html, angular. Also skilled in react, sass, typescript, javascript. Built multiple projects and worked in startup environment. Strong communication skills.","Frontend Developer position. Looking for 3+ years of experience. Required skills: vue, react, javascript, css, webpack. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",90.48
"Qa Engineer with 6 years of experience. Proficient in selenium, api testing, testing, junit, pytest. Built multiple projects and worked in enterprise environment. Strong communication skills.","QA Engineer position. Looking for 3+ years of experience. Required skills: selenium, automation, api testing, cypress, junit, pytest. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",76.91
"Data Scientist with 5 years of experience. Proficient in numpy, deep learning, python, pandas, sql. Also skilled in statistics, nlp, machine learning, tensorflow, pytorch. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 4+ years of experience. Required skills: tensorflow, pandas, statistics, sql, deep learning, pytorch. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",94.22
"Qa Engineer with 6 years of experience. Proficient in junit, quality assurance, api testing, pytest, selenium. Built multiple projects and worked in startup environment. Strong problem-solving skills.","QA Engineer position. Looking for 5+ years of experience. Required skills: api testing, automation, cypress, junit, selenium. Must have strong technical abilities. Remote work. Competitive salary and benefits.",71.65
"Software Engineer with 5 years of experience. Proficient in django, node.js, javascript, python, api. Also skilled in spring, react, sql. Built multiple projects and worked in startup environment. Strong teamwork skills.","Software Engineer position. Looking for 3+ years of experience. Required skills: api, javascript, python, django, sql, react, spring, node.js. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",92.19
"Frontend with 5 years of experience. Proficient in react, html, typescript, sass, css. Also skilled in angular, javascript. Built multiple projects and worked in startup environment. Strong communication skills.","Frontend Developer position. Looking for 5+ years of experience. Required skills: vue, sass, html, webpack, javascript. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",68.33
"Frontend with 7 years of experience. Proficient in javascript, angular, react, sass, css. Also skilled in vue, html, webpack, typescript. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Frontend Developer position. Looking for 6+ years of experience. Required skills: typescript, html, angular, webpack, javascript, css, vue. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",89.54
"Full Stack with 7 years of experience. Proficient in html, rest api, react, typescript, mongodb. Also skilled in javascript. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 4+ years of experience. Required skills: css, mongodb, react, node.js, typescript, html, rest api. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",75.91
"Software Engineer with 9 years of experience. Proficient in api, node.js, java, git, django. Also skilled in javascript, sql, react, python, spring. Built multiple projects and worked in enterprise environment. Strong communication skills.","Software Engineer position. Looking for 4+ years of experience. Required skills: react, javascript, git, django, java, sql. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",91.24
"Devops with 6 years of experience. Proficient in docker, ansible, git, aws, linux. Also skilled in ci/cd, jenkins, kubernetes. Built multiple projects and worked in enterprise environment. Strong communication skills.","DevOps Engineer position. Looking for 5+ years of experience. Required skills: kubernetes, ansible, docker, aws, terraform, ci/cd. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",81.4
"Full Stack with 8 years of experience. Proficient in rest api, react, typescript, html, javascript. Also skilled in mongodb, express. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Full Stack Developer position. Looking for 7+ years of experience. Required skills: rest api, express, javascript, typescript, mongodb, css, node.js. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",77.6
"Full Stack with 3 years of experience. Proficient in rest api, react, javascript, mongodb, express. Also skilled in node.js, typescript, css, html. Built multiple projects and worked in startup environment. Strong communication skills.","Full Stack Developer position. Looking for 5+ years of experience. Required skills: react, rest api, javascript, mongodb, css, html, typescript. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",78.39
"Software Engineer with 8 years of experience. Proficient in git, spring, node.js, sql, java. Also skilled in api, python, javascript, react, django. Built multiple projects and worked in agile environment. Strong teamwork skills.","Software Engineer position. Looking for 3+ years of experience. Required skills: spring, sql, java, react, python, javascript, node.js, django. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",94.0
"Full Stack with 4 years of experience. Proficient in css, rest api, react, node.js, javascript. Also skilled in html, typescript, express, mongodb. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 7+ years of experience. Required skills: mongodb, rest api, express, node.js, react, javascript. Must have strong technical abilities. Remote work. Competitive salary and benefits.",76.61
"Data Scientist with 3 years of experience. Proficient in deep learning, nlp, statistics, pandas, python. Also skilled in pytorch, tensorflow. Built multiple projects and worked in agile environment. Strong teamwork skills.","Data Scientist position. Looking for 3+ years of experience. Required skills: statistics, nlp, numpy, pytorch, deep learning, tensorflow. Must have strong technical abilities. On-site work. Competitive salary and benefits.",85.83
"Qa Engineer with 4 years of experience. Proficient in api testing, cypress, pytest, quality assurance, automation. Also skilled in junit. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","QA Engineer position. Looking for 5+ years of experience. Required skills: cypress, quality assurance, pytest, junit. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",87.59
"Data Scientist with 3 years of experience. Proficient in numpy, deep learning, statistics, tensorflow, python. Also skilled in sql, pandas, nlp, machine learning, pytorch. Built multiple projects and worked in agile environment. Strong communication skills.","Data Scientist position. Looking for 5+ years of experience. Required skills: deep learning, pytorch, python, statistics, nlp, numpy, sql. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",78.24
"Backend with 4 years of experience. Proficient in java, redis, microservices, node.js, sql. Also skilled in postgresql, mongodb. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Backend Developer position. Looking for 3+ years of experience. Required skills: python, rest api, microservices, redis, node.js, java, mongodb. Must have strong technical abilities. Remote work. Competitive salary and benefits.",78.34
"Devops with 8 years of experience. Proficient in ansible, linux, terraform, ci/cd, aws. Also skilled in git, docker, kubernetes. Built multiple projects and worked in startup environment. Strong teamwork skills.","DevOps Engineer position. Looking for 8+ years of experience. Required skills: ansible, docker, linux, jenkins, kubernetes, terraform. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",81.81
"Software Engineer with 4 years of experience. Proficient in python, api, javascript, react, sql. Also skilled in java, git, spring. Built multiple projects and worked in enterprise environment. Strong communication skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: python, spring, django, sql, git, node.js, react, java. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",62.43
"Qa Engineer with 6 years of experience. Proficient in quality assurance, cypress, testing, pytest, automation. Also skilled in junit, selenium, api testing. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","QA Engineer position. Looking for 4+ years of experience. Required skills: selenium, quality assurance, pytest, testing. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",94.62
"Backend with 2 years of experience. Proficient in mongodb, rest api, microservices, node.js, java. Also skilled in redis, sql, postgresql, python. Built multiple projects and worked in agile environment. Strong communication skills.","Backend Developer position. Looking for 5+ years of experience. Required skills: rest api, node.js, postgresql, microservices, redis. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",67.52
"Full Stack with 8 years of experience. Proficient in javascript, css, typescript, rest api, mongodb. Also skilled in node.js. Built multiple projects and worked in agile environment. Strong teamwork skills.","Full Stack Developer position. Looking for 4+ years of experience. Required skills: node.js, express, react, html, javascript, css, mongodb. Must have strong technical abilities. On-site work. Competitive salary and benefits.",70.44
"Backend with 5 years of experience. Proficient in java, node.js, sql, python, postgresql. Also skilled in mongodb, rest api, redis, microservices. Built multiple projects and worked in startup environment. Strong communication skills.","Backend Developer position. Looking for 3+ years of experience. Required skills: mongodb, python, node.js, redis, microservices, sql. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",92.09
"Mobile Developer with 4 years of experience. Proficient in firebase, kotlin, react native, swift, android. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: flutter, react native, kotlin, android, ios. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",68.99
"Backend with 7 years of experience. Proficient in redis, python, mongodb, sql, rest api. Also skilled in microservices. Built multiple projects and worked in enterprise environment. Strong communication skills.","Backend Developer position. Looking for 7+ years of experience. Required skills: redis, node.js, python, java, postgresql, mongodb, rest api. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",68.99
"Full Stack with 8 years of experience. Proficient in mongodb, javascript, react, rest api, express. Also skilled in html, typescript, node.js, css. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 2+ years of experience. Required skills: rest api, javascript, typescript, html, react, mongodb, express. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",94.41
"Qa Engineer with 6 years of experience. Proficient in selenium, api testing, junit, cypress, testing. Also skilled in quality assurance, automation, pytest. Built multiple projects and worked in startup environment. Strong problem-solving skills.","QA Engineer position. Looking for 6+ years of experience. Required skills: pytest, selenium, testing, quality assurance. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",90.26
"Data Scientist with 4 years of experience. Proficient in python, pytorch, machine learning, tensorflow, statistics. Also skilled in sql, deep learning. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Data Scientist position. Looking for 4+ years of experience. Required skills: deep learning, nlp, sql, numpy, pandas, pytorch. Must have strong technical abilities. Remote work. Competitive salary and benefits.",64.13
"Frontend with 6 years of experience. Proficient in angular, webpack, css, vue, html. Also skilled in typescript. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: vue, sass, webpack, typescript, angular, css. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",81.67
"Backend with 3 years of experience. Proficient in rest api, sql, python, postgresql, mongodb. Also skilled in java, node.js, microservices, redis. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Backend Developer position. Looking for 5+ years of experience. Required skills: node.js, rest api, mongodb, sql, java, redis, postgresql. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",76.23
"Frontend with 2 years of experience. Proficient in html, sass, webpack, react, vue. Also skilled in javascript, angular, css. Built multiple projects and worked in agile environment. Strong communication skills.","Frontend Developer position. Looking for 5+ years of experience. Required skills: css, angular, typescript, javascript, react, vue, html. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",55.72
"Frontend with 7 years of experience. Proficient in html, vue, react, angular, javascript. Also skilled in sass, css, typescript, webpack. Built multiple projects and worked in startup environment. Strong communication skills.","Frontend Developer position. Looking for 4+ years of experience. Required skills: html, react, css, javascript, vue, typescript, sass. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",89.98
"Mobile Developer with 3 years of experience. Proficient in mobile, kotlin, ios, flutter, android. Also skilled in react native. Built multiple projects and worked in enterprise environment. Strong communication skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: mobile, ios, react native, android, swift. Must have strong technical abilities. On-site work. Competitive salary and benefits.",73.74
"Backend with 7 years of experience. Proficient in java, mongodb, postgresql, node.js, rest api. Also skilled in redis, sql, python. Built multiple projects and worked in agile environment. Strong teamwork skills.","Backend Developer position. Looking for 7+ years of experience. Required skills: rest api, postgresql, java, sql, redis, mongodb, microservices. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",85.04
"Frontend with 2 years of experience. Proficient in typescript, webpack, vue, react, css. Also skilled in sass. Built multiple projects and worked in enterprise environment. Strong communication skills.","Frontend Developer position. Looking for 5+ years of experience. Required skills: css, webpack, typescript, javascript, html, vue. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",45.16
"Full Stack with 7 years of experience. Proficient in javascript, typescript, css, mongodb, rest api. Also skilled in html, express. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Full Stack Developer position. Looking for 2+ years of experience. Required skills: react, rest api, typescript, node.js, mongodb. Must have strong technical abilities. Remote work. Competitive salary and benefits.",67.52
"Full Stack with 2 years of experience. Proficient in typescript, rest api, react, express, node.js. Also skilled in javascript. Built multiple projects and worked in startup environment. Strong teamwork skills.","Full Stack Developer position. Looking for 5+ years of experience. Required skills: express, react, html, mongodb, typescript. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",43.06
"Devops with 9 years of experience. Proficient in git, kubernetes, ci/cd, terraform, linux. Also skilled in docker, ansible. Built multiple projects and worked in enterprise environment. Strong communication skills.","DevOps Engineer position. Looking for 5+ years of experience. Required skills: ansible, linux, git, aws, terraform, kubernetes, ci/cd. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",83.81
"Frontend with 6 years of experience. Proficient in webpack, html, sass, typescript, react. Also skilled in css. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Frontend Developer position. Looking for 5+ years of experience. Required skills: angular, typescript, css, react, javascript. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",67.44
"Frontend with 1 years of experience. Proficient in css, angular, react, webpack, javascript. Also skilled in sass. Built multiple projects and worked in startup environment. Strong teamwork skills.","Frontend Developer position. Looking for 2+ years of experience. Required skills: webpack, css, typescript, html, react. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",52.11
"Qa Engineer with 7 years of experience. Proficient in junit, quality assurance, pytest, automation, api testing. Built multiple projects and worked in startup environment. Strong communication skills.","QA Engineer position. Looking for 3+ years of experience. Required skills: junit, quality assurance, api testing, selenium, testing, pytest. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",83.87
"Devops with 9 years of experience. Proficient in linux, terraform, git, jenkins, aws. Also skilled in ci/cd, ansible, kubernetes, docker. Built multiple projects and worked in startup environment. Strong communication skills.","DevOps Engineer position. Looking for 4+ years of experience. Required skills: jenkins, kubernetes, ci/cd, linux, ansible, terraform, aws. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",94.15
"Data Scientist with 4 years of experience. Proficient in python, nlp, pytorch, pandas, deep learning. Also skilled in statistics, tensorflow. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 3+ years of experience. Required skills: tensorflow, pandas, deep learning, sql, pytorch, python, machine learning, nlp. Must have strong technical abilities. On-site work. Competitive salary and benefits.",77.21
"Data Scientist with 2 years of experience. Proficient in python, machine learning, sql, pandas, pytorch. Also skilled in numpy, deep learning, statistics. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Data Scientist position. Looking for 2+ years of experience. Required skills: statistics, pandas, machine learning, nlp, pytorch, python, deep learning, numpy. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",87.27
"Backend with 3 years of experience. Proficient in postgresql, sql, mongodb, redis, microservices. Also skilled in rest api. Built multiple projects and worked in enterprise environment. Strong communication skills.","Backend Developer position. Looking for 2+ years of experience. Required skills: java, microservices, postgresql, sql, node.js, mongodb. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",73.54
"Frontend with 3 years of experience. Proficient in javascript, sass, html, react, angular. Also skilled in vue. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Frontend Developer position. Looking for 4+ years of experience. Required skills: typescript, html, angular, sass, react, css, javascript. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",71.3
"Mobile Developer with 7 years of experience. Proficient in kotlin, ios, react native, mobile, flutter. Also skilled in firebase, android. Built multiple projects and worked in startup environment. Strong teamwork skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: swift, kotlin, mobile, ios, react native. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",80.41
"Frontend with 2 years of experience. Proficient in angular, css, webpack, react, typescript. Also skilled in sass, javascript. Built multiple projects and worked in agile environment. Strong teamwork skills.","Frontend Developer position. Looking for 4+ years of experience. Required skills: javascript, vue, webpack, sass, html, typescript, css. Must have strong technical abilities. On-site work. Competitive salary and benefits.",60.31
